This is sample data with 3 free parameters.
x y z chisq
14.1	1.1	2.3	1000000
14.1	1.1	2.24	1000000
14.1	1.1	2.25	1000000
14.1	1.1	2.26	1000000
14.1	1.1	2.27	1000000
14.1	1.1	2.28	1000000
14.1	1.1	2.29	1000000
14.1	1.1	2.3	1000000
14.1	1	2.3	1000000
14.1	1	2.24	1000000
14.1	1	2.25	1000000
14.1	1	2.26	1000000
14.1	1	2.27	1000000
14.1	1	2.28	1000000
14.1	1	2.29	1000000
14.1	1	2.3	1000000
14.1	0.9	2.24	1000000
14.1	0.9	2.25	1000000
14.1	0.9	2.26	1000000
14.1	0.9	2.27	1000000
14.1	0.9	2.28	1000000
14.1	0.9	2.29	1000000
14.2	1	2.3	3319.037083
14.2	1	2.24	3384.25922
14.2	1	2.25	3444.523505
14.2	1	2.26	2646.12057
14.2	1	2.27	2499.198306
14.2	1	2.28	3142.962723
14.2	1	2.29	2923.269817
14.2	1.1	2.3	1000000
14.2	1.1	2.24	1000000
14.2	1.1	2.25	1000000
14.2	1.1	2.26	1000000
14.2	1.1	2.27	1000000
14.2	1.1	2.28	1000000
14.2	1.1	2.29	1000000
14.2	1.1	2.3	1000000
14.2	0.9	2.24	1000000
14.2	0.9	2.25	1000000
14.2	0.9	2.26	1000000
14.2	0.9	2.27	1000000
14.2	0.9	2.28	1000000
14.2	0.9	2.29	1000000
14.3	1.1	2.3	1000000
14.3	1.1	2.24	1000000
14.3	1.1	2.25	1000000
14.3	1.1	2.26	1000000
14.3	1.1	2.27	1000000
14.3	1.1	2.28	1000000
14.3	1.1	2.29	1000000
14.3	1.1	2.3	1000000
14.3	1	2.24	1000000
14.3	1	2.25	1000000
14.3	1	2.26	1000000
14.3	1	2.27	1000000
14.3	1	2.28	1000000
14.3	1	2.29	1000000
14.3	1	2.3	1000000
14.3	0.9	2.24	1000000
14.3	0.9	2.25	1000000
14.3	0.9	2.26	1000000
14.3	0.9	2.27	1000000
14.3	0.9	2.28	1000000
14.3	0.9	2.29	1000000
